TITULO_ORIGINAL;PUBLICO
LA LA LAND;1354615
ENCANTO;1349134
HOPPERS;1345511
THE SUICIDE SQUAD;1342052
TRANSFORMERS: RISE OF THE BEASTS;1341303
FIVE FEET APART;1335227
SMURFS;1306980
DETETIVES DO PRÉDIO AZUL 2 - O MISTÉRIO ITALIANO;1299093
THE LEGO BATMAN MOVIE;1295223
THE BLACK PHONE;1290182
OS PARÇAS 2;1289230
OCEAN'S 8;1283011
LIGHTYEAR;1277865
DRAGON BALL SUPER: BROLY;1264503
PASSENGERS;1264041
BOB MARLEY: ONE LOVE;1252600
THE MEG 2;1244783
XXX: RETURN OF XANDER CAGE;1227064
STORKS;1226754
THE MARVELS;1224493
THE SPONGEBOB MOVIE: SEARCH FOR SQUAREPANTS;1223404
ICE AGE: COLLISION COURSE;1220794
D.P.A. - DETETIVES DO PRÉDIO AZUL;1212046
THE WOMAN KING;1210668
SCREAM VI;1208584
POWER RANGERS;1205718
RESIDENT EVIL 6: THE FINAL CHAPTER;1190984
THE LEGEND OF TARZAN;1181549
TUDO POR UM POP STAR;1179829
BEN-HUR;1179621
1917;1168847
READY PLAYER ONE;1154900
WEAPONS;1133182
POKEMON DETECTIVE PIKACHU;1131827
MADAME WEB;1128680
MURDER ON THE ORIENT EXPRESS;1118876
HALLOWEEN;1102924
BALLERINA;1102881
ELVIS;1101703
EVIL DEAD RISE;1085321
CIVIL WAR;1083732
DUNGEONS & DRAGONS: HONOR AMONG THIEVES;1081390
THE BLACK PHONE 2;1072685
NO TIME TO DIE;1068907
INSIDIOUS: THE LAST KEY;1063610
UNDERWORLD: BLOOD WARS;1060975
TÔ RYCA!;1057108
ONCE UPON A TIME IN HOLLYWOOD;1053695
THE CHOSEN;1048855
Eventos Esportivos;1045502
THE MATRIX RESURRECTIONS;1030425
ALITA: BATTLE ANGEL;1024071
KINGSMAN: THE GOLDEN CIRCLE;1017917
SMILE;1015403
TERMINATOR: DARK FATE;1006359
ANACONDA;1002774
ABOMINABLE;1002403
HAPPY DEATH DAY;998540
INDIANA JONES AND THE DIAL OF DESTINY;997478
WICKED;995246
MEN IN BLACK INTERNATIONAL;994989
JOHN WICK 3: PARABELLUM;994883
BLADE RUNNER 2049;989218
CHICO BENTO E A GOIABEIRA MARAVIOSA;988453
TEEN TITANS GO! TO THE MOVIES;988049
SPLIT;984488
FURIOSA: A MAD MAX SAGA;983427
THE BAD GUYS 2;977742
PARASITE;951712
SKYSCRAPER;948394
SHAZAM! FURY OF THE GODS;945949
WICKED: FOR GOOD;945274
PETER RABBIT;929213
WUTHERING HEIGHTS;925567
KING ARTHUR: LEGEND OF THE SWORD;925281
IF;924530
NOSFERATU;923967
SCREAM;903428
RED ONE;903160
GEOSTORM;902337
TOMB RAIDER;887969
ROBIN HOOD;882778
DARK TOWER;879504
SPACE JAM: A NEW LEGACY;870423
THE ANGRY BIRDS MOVIE 2;867310
DC LEAGUE OF SUPERPETS;866470
THE SHAPE OF WATER;865923
MAMONAS ASSASSINAS O FILME;865270
SINNERS;852405
CREED III;847066
DOLITTLE;844650
THE NUTCRACKER AND THE FOUR REALMS;844639
NAPOLEON;843557
VAI QUE COLA 2 - O COMEÇO;842793
GODZILLA VS. KONG;840788
INSIDIOUS: THE RED DOOR;837397
THE CROODS: A NEW AGE;833381
DUNE;824850
THE EQUALIZER 2;822317
TURMA DA MÔNICA: LIÇÕES;818197
NOPE;817895
GEMINI MAN;815675
DUNKIRK;791222
WONDER PARK;788355
SAW X;786518
GRETEL & HANSEL (2020);784562
THE PREDATOR;783453
MAMMA MIA! HERE WE GO AGAIN;780500
TALK TO ME;779644
RAMBO: LAST BLOOD;774462
PAUL, APOSTLE OF CHRIST;765969
THE EXORCIST: BELIEVER;765143
STAR TREK BEYOND;758373
PAW PATROL: THE MOVIE;754066
HARRY POTTER AND THE PRISONER OF AZKABAN;750456
POOR THINGS;748999
THE POPE´S EXORCIST;735386
TICKET TO PARADISE;731326
WINCHESTER;729402
ROCKETMAN;727330
THE ACCOUNTANT;727126
OVERCOMER;726790
MEUS 15 ANOS;724430
VITÓRIA;722725
CONCLAVE;719981
GHOST IN THE SHELL;718923
KARDEC;714770
A MAN IN THE DARK;708278
BLAIR WITCH;705715
TEENAGE MUTANT NINJA TURTLES: MUTANT MAYHEM;699139
FREAKIER FRIDAY;698515
THE DRAMA;698063
HAN SOLO: A STAR WARS STORY;697285
LIGHTS OUT;696110
EQUALIZER 3;691658
THE ADDAMS FAMILY 2;677367
THE BOSS BABY: FAMILY BUSINESS;676099
CREED II;675519
INTERSTELLAR;672821
A DOG´S WAY HOME;659122
JACK REACHER: NEVER GO BACK;649486
BACURAU;648433
O VENDEDOR DE SONHOS;643178
THE GIRL ON THE TRAIN;636881
ALIEN: COVENANT;634909
BAYWATCH;633842
HOMEM COM H;632483
JIGSAW;627955
MARY MAGDALENE;627619
MORTAL KOMBAT 2;626367
TWISTERS;619771
YESTERDAY;618567
UMA QUASE DUPLA;616935
UM NAMORADO PARA MINHA MULHER;616663
BULLET TRAIN;612448
MATERIALISTS;612140
KARATE KID LEGENDS;606634
GREEN BOOK;605465
CARROSSEL 2 - O SUMIÇO DE MARIA JOAQUINA;603161
TAD THE LOST EXPLORER AND THE EMERALD TABLET;602137
A QUIET PLACE: PART II;601476
TRON: ARES;599829
ARRIVAL;597746
THE INVISIBLE MAN;597675
PREDATOR: BADLANDS;596285
MASTERMINDS;594163
HAPPY DEATH DAY 2U;591499
ALIEN: ROMULUS;591300
THE GREATEST SHOWMAN;590169
DORA AND THE LOST CITY OF GOLD;586838
BABY DRIVER;582557
THE MAGNIFICENT SEVEN;582043
CRUELLA;581275
O CANDIDATO HONESTO 2;574766
JASON BOURNE;573259
GABBY'S DOLLHOUSE: THE MOVIE;572891
STRANGE WORLD;571012
UM TIO QUASE PERFEITO;568584
THE CHOSEN: LAST SUPPER;567217
O SHAOLIN DO SERTÃO;566004
CAPTAIN UNDERPANTS: THE FIRST EPIC MOVIE;559707
TWILIGHT;554851
ELIO;553593
LONGLEGS;553173
AMERICAN MADE;548990
THE BFG;547053
PET SEMATARY;545674
EU FICO LOKO;542953
KNIVES OUT;537324
ELIS;536247
JOHN WICK: CHAPTER 2;533114
GODZILLA - KING OF THE MONSTERS;530733
ESCAPE ROOM;528610
DAVID;527952
HAMNET;526859
LOVE AGAIN;523198
GREENLAND 2: MIGRATION;521636
REGRETTING YOU;521305
TÔ RYCA! 2;516069
COMPANION;515592
MOTHER!;513221
TITANIC;511462
NOSSO SONHO;506867
LAST CHRISTMAS;506559
US;506056
SMILE 2;505378
GOAT;504482
SHERLOCK GNOMES;501609
THE BAD GUYS;501375
VALERIAN AND THE CITY OF A THOUSAND PLANETS;500153
A DOG´S PURPOSE;499229
ALPHA;498887
COMO SE TORNAR O PIOR ALUNO DA ESCOLA;497768
TRUTH OR DARE;495259
COLLATERAL BEAUTY;493986
LEE CRONIN'S THE MUMMY;493646
THE EXPENDABLES 4;491488
GHOSTBUSTERS: AFTERLIFE;491134
DIVÓRCIO;490755
THE LOST CITY;487213
GHOSTBUSTERS: FROZEN EMPIRE;483017
WE LIVE IN TIME;480469
THE STAR;479994
ANGEL HAS FALLEN;479403
CRÔ EM FAMILIA;477634
PAW PATROL: MIGHTYPUPS;477391
IMMACULATE;475352
MOONFALL;474295
THE POST;472779
THE SUBSTANCE;470232
SAI DE BAIXO, O FILME;467878
CINDERELA POP;466173
THE CIRCLE;464485
CHARLIE´S ANGELS;461687
ONWARD;456807
SLENDER MAN;453877
HARRY POTTER AND THE GOBLET OF FIRE;450641
KILLERS OF THE FLOWER MOON;446165
DADDY'S HOME 2;444978
THE BOY AND THE HERON;444216
TOM & JERRY;443720
FREE GUY;443530
MEAN GIRLS;438257
THE KING OF KINGS;437787
HOUSE OF GUCCI;437609
THE MOUNTAIN BETWEEN US;437162
THE WHALE;434589
THE POSSESSION OF HANNAH GRACE;428554
DIVALDO – O MENSAGEIRO DA PAZ;427175
VELHOS BANDIDOS;426575
DETETIVES DO PRÉDIO AZUL 3 - UMA AVENTURA NO FIM DO MUNDO;426109
OFFICE CHRISTMAS PARTY;424323
MICKEY 17;423072
KRAVEN THE HUNTER;422956
OS AVENTUREIROS - A ORIGEM;420637
OUIJA: ORIGIN OF EVIL;419112
HARRY POTTER AND THE PHILOSOPHER'S STONE;417408
PACIFIC RIM: UPRISING;416756
MEDIDA PROVISÓRIA;413503
DARKEST HOUR;409640
Shows e Musicais;408790
FLOW;408251
MARTY SUPREME;407281
SPIES IN DISGUISE;406884
HALLOWEEN KILLS;406403
ONE BATTLE AFTER ANOTHER;404828
TRANSFORMERS ONE;403638
HALLOWEEN ENDS;399801
TERRIFIER 3;395477
OS PENETRAS 2 - QUEM DÁ MAIS?;394807
REMINDERS OF HIM;394522
THE EXORCISM OF GOD;392858
TRAIN TO BUSAN;392263
EDUARDO E MÔNICA;391097
THREE BILLBOARDS OUTSIDE EBBING, MISSOURI;387822
BAGMAN;387620
THE LEGO MOVIE 2: THE SECOND PART;387614
DEMON SLAYER: KIMETSU NO YAIBA – TO THE HASHIRA TRAINING;386470
MARY POPPINS RETURNS;383712
I KNOW WHAT YOU DID LAST SUMMER;381237
HIDDEN FIGURES;381170
PERRENGUE FASHION;379529
AVATAR;378742
TROLLS WORLD TOUR;375042
ALLIED;373169
NERVE;370377
HOUSE WITH A CLOCK IN ITS WALLS;370265
PREY FOR THE DEVIL;368367
BRING HER BACK;367614
GET OUT;367454
ATOMIC BLONDE;367064
ARCA DE NOÉ;364258
INTERNET - O FILME;360524
THE MONKEY;358391
THE CURSE OF LA LLORONA;358158
AD ASTRA;357099
ONE PIECE FILM: RED;356024
SULLY;355733
THE FALL GUY;354495
GREENLAND;353749
CENTRAL INTELLIGENCE;351115
LITTLE WOMEN;348072
CHILD´S PLAY;344475
THE FIRST OMEN;344229
RED SPARROW;342134
LYLE, LYLE, CROCODILE;341993
GRAN TURISMO;340718
THE HEALER;340060
THE SHALLOWS;339984
BAGHEAD;339079
NEW MUTANTS;337711
THE WITCHES;336451
THE CHOSEN: ÚLTIMA CEIA;335414
MUMMIES;334663
THE COMMUTER;333245
THE LEGO NINJAGO MOVIE;332324
PAWS OF FURY: THE LEGEND OF HANK;331808
DRAGON BALL SUPER: SUPER HERO;330541
MORTAL ENGINES;330230
TADEO JONES 2: EL SECRETO DEL REY MIDAS;329407
THE OFFERING;328293
DOG MAN;326304
MONSTER TRUCKS;326225
INSTANT FAMILY;323853
GOOSEBUMPS 2: HAUNTED HALLOWEEN;323661
LOVE, SIMON;323436
KNOCK AT THE CABIN;322649
MECHANIC: RESSURRECTION;321477
SPEAK NO EVIL;321049
MOONLIGHT;320920
MASHA AND THE BEAR;318559
PLAYING WITH FIRE;315764
LINO - UMA AVENTURA DE SETE VIDAS;314311
THE SON OF BIGFOOT;312153
EVERYTHING EVERYWHERE ALL AT ONCE;311374
NEVESTA;309445
MARIGHELLA;308775
A MAN CALLED OTTO;308351
LIFE;307785
DEATH ON THE NILE;306633
ANORA;306572
THE CRUCIFIXION;306121
BRIDGET JONE'S BABY;304895
Jogos Eletrônicos;298714
DOCTOR SLEEP;298585
TENET;297631
NÃO SE ACEITAM DEVOLUÇÕES;296537
THE ACCOUNTANT 2;295351
EVIDÊNCIAS DO AMOR;295141
THE BEEKEEPER;289558
DUAS DE MIM;288872
A HAUNTING IN VENICE;288772
TERRIFIER 2;286697
FORD V FERRARI;286675
CHRISTOPHER ROBIN;284328
ZOMBIELAND: DOUBLE TAP;281443
O DOUTRINADOR - O FILME;279390
PINOCCHIO;275505
RESIDENT EVIL: WELCOME TO RACCOON CITY;275141
THE CREATOR;274338
PADDINGTON 2;274291
CAFÉ SOCIETY;274180
THE UNHOLY;273375
JUNGLE CRUISE;271551
THE NORTHMAN;270286
DEEPWATER HORIZON;269978
THE NAKED GUN;269795
GOD'S NOT DEAD: A LIGHT IN DARKNESS;269549
FIRST MAN;269334
FÉ PARA O IMPOSSÍVEL;268834
FERRARI;265900
PREDESTINADO: ARIGÓ E O ESPÍRITO DO DR. FRITZ;264013
SCOOB!;263533
JUJUTSU KAISEN 0: THE MOVIE;262892
HACKSAW RIDGE;262191
21 BRIDGES;262065
AFTER;261823
O FILME DA MINHA VIDA;261584
PLANE;258604
BINGO - O REI DAS MANHÃS;257893
BEAST;257215
JOJO RABBIT;257048
I WANNA DANCE WITH SOMEBODY;256636
GHOSTBUSTERS III;256180
KNIGHTS OF THE ZODIAC;255504
AQUARIUS;254690
UNTIL DAWN;253824
HONEST THIEF;252231
HARRY POTTER AND THE CHAMBER OF SECRETS;250930
GODZILLA MINUS ONE;250439
HEREDITARY;249986
WISH UPON;249865
I CAN ONLY IMAGINE;249630
28 YEARS LATER;248590
BABYGIRL;248404
JUNTOS E ENROLADOS;246785
SPIRAL - FROM THE BOOK OF SAW;246453
WRATH OF MAN;245752
MALIGNANT;243900
TOC - TRANSTORNADA, OBSESSIVA, COMPULSIVA;241526
THE HITMAN´S BODYGUARD;240896
PETE´S DRAGON;240669
ELA DISSE, ELE DISSE;240118
TRAP;239449
CHARMING;239143
CHAINSAW MAN – THE MOVIE: REZE ARC;238868
65;238193
ANATOMY OF A FALL;237980
MORTAL KOMBAT;237451
ME BEFORE YOU;237444
THE CROW;236871
M3GAN 2.0;236613
THE FAVOURITE;235546
RON'S GONE WRONG;234546
TAROT;232203
RUSALKA: OZERO MYORTVYKH;231028
ADRIFT;230817
THE KID WHO WOULD BE KING;227768
CRAWL;226288
THE HURRICANE HEIST;223677
A WORKING MAN;222990
FALLEN;221059
THE QUEEN´S CORGI;220908
PLAYMOBIL;220573
HUSTLERS;217688
DOLOR Y GLORIA;217611
HUNTER KILLER;216966
CORALINE 15TH ANNIVERSARY;216383
DON´T BREATHE 2;215844
VICE;214918
MUSSUM, O FILMIS;214464
SEARCHING;214418
FIREHEART;211735
PRÍNCIPE LU E A LENDA DO DRAGÃO;207382
DEN OF THIEVES 2: PANTERA;206855
NIGHT SWIM;202880
TURMA DA MÔNICA JOVEM - REFLEXOS DO MEDO;202604
INCIDENT IN A GHOSTLAND;201822
THE AUTOPSY OF JANE DOE;201108
OBSESSION;200923
ROBINSON CRUSOE;200716
COMO NOSSOS PAIS;200677
GAME NIGHT;199011
O SEQUESTRO DO VOO 375;198363
THE ART OF RACING IN THE RAIN;198359
LION;196982
OVERLORD;195898
HELL FEST;195786
THE AMATEUR;195522
TOM AND JERRY: FORBIDDEN COMPASS;194604
TÔ DE GRAÇA - O FILME;194463
THE KING'S MAN;194401
32 MALASAÑA STREET;194235
COLD PURSUIT (AKA HARD POWDER);193557
THE GREAT WALL OF CHINA: THE HIDDEN STORY;193466
SHELTER;193129
CARCEREIROS - O FILMES;192677
O ÚLTIMO AZUL;192565
MALICIOUS;191416
HELLBOY: THE CROOKED MAN;190924
AN INTERVIEW WITH GOD;190397
WOLF MAN;188610
NINGUÉM ENTRA, NINGUÉM SAI;188595
THE GIRL IN THE SPIDER´S WEB;188395
CLIFFORD THE BIG RED DOG;188243
THE GRUDGE;188115
CHALLENGERS;187661
BLACKKKLANSMAN;187539
GNOME ALONE;186557
BLOODSHOT;186322
SEND HELP;186289
PAW PATROL HOLIDAY SPECIAL 2025;186184
AFFEKSJONSVERDI;185542
THE WATCHERS;185424
CALL OF THE WILD;185381
PEQUENO SEGREDO;184647
THE PRODIGY;184617
THE ZONE OF INTEREST;183914
AIR;183711
BEFORE I FALL;182432
ABIGAIL;182259
PRIMATE;182105
ARGYLLE;180428
ESCAPE ROOM: TOURNAMENT OF CHAMPIONS;180258
SCARY STORIES TO TELL IN THE DARK;179636
MONSTER HUNTER;177956
BTS: YET TO COME IN CINEMAS;177797
OZZY;177611
CAUGHT STEALING;177423
DON'T WORRY DARLING;176094
IMAGINARY;175629
THE MULE;174408
THE DARKEST MINDS;174333
VIOLENT NIGHT;173945
AMITYVILLE: THE AWAKENING;173847
HELLBOY;173319
TAYLOR SWIFT - THE ERAS TOUR;173304
OLD;173081
THE ROSES;172544
GOSTO SE DISCUTE;171879
OS EXTERMINADORES DO ALÉM CONTRA A LOIRA DO BANHEIRO;171186
THANKSGIVING;170950
NO WAY UP;169402
CALL ME BY YOUR NAME;169200
Ó PAÍ, Ó 2;169141
THE TWILIGHT SAGA: NEW MOON;169036
A DOG'S JOURNEY;168361
THE STRANGERS: CHAPTER 1;168141
AMERICAN ASSASSIN;167643
CINE HOLLIÚDY 2 - A CHIBATA SIDERAL;165703
AFTER WE FELL;162771
MASHA AND THE BEAR - TWICE THE FUN;161294
AMBULANCE;160565
BOOK CLUB;160210
ARMOR;160095
AFTER EVER HAPPY;159698
BOMBSHELL;158971
THE BRIDE!;158678
THE WIFE;158399
Z;157740
CHOCANTE;156685
TOY STORY;156447
MEU NOME É GAL;156141
LEFT BEHIND: RISE OF THE ANTICHRIST;155944
THE MANDALORIAN & GROGU;155119
TUDO POR UM POP STAR 2;154891
WONDER WHEEL;154871
A WRINKLE IN TIME;154673
NIGHT OF THE ZOOPOCALYPSE;154514
47 METERS DOWN: UNCAGED;152297
THE SPY WHO DUMPED ME;151873
A BIG BOLD BEAUTIFUL JOURNEY;151359
DESAPEGA;150754
PETER RABBIT 2: THE RUNAWAY;149566
WIDOWS;148924
DEMON SLAYER: TO THE SWORDSMITH VILLAGE;148652
THE DEVIL'S DOORWAY;147685
IT LIVES INSIDE;147575
UNDERWATER;147430
AINBO - THE SPIRIT OF THE AMAZON;147354
HAPPY FAMILY;147107
WHERE THE CRAWDADS SING;146688
FÁTIMA, EL ÚLTIMO MISTERIO;146139
A RAINY DAY IN NEW YORK;146060
THE FIRST PURGE;145581
NADA É POR ACASO;145334
STRAY KIDS: THE DOMINATE EXPERIENCE;145037
MAXXXINE;144342
PADDINGTON IN PERU;144290
NUREMBERG;143565
NO HARD FEELINGS;143352
O DIÁRIO DE PILAR NA AMAZÔNIA;142332
FLATLINERS;141725
A COMPLETE UNKNOWN;141461
UMA ADVOGADA BRILHANTE;140216
HYPNOTIC;140035
LAND OF BAD;139882
DESCULPE O TRANSTORNO;139861
C.I.C - CENTRAL DE INTELIGÊNCIA CEARENSE;139858
FANTASY ISLAND;139519
INCARNATE;139322
NINGUÉM É DE NINGUÉM;139209
WHISTLE;137914
ROSARIO;137913
EARLY MAN;137836
SAUSAGE PARTY;136329
KUBO AND THE TWO STRINGS;135823
A SIMPLE FAVOR;135361
I FEEL PRETTY;135334
MIDWAY;134691
THE LONG WALK;134362
THE BRUTALIST;133084
MY LITTLE PONY - THE MOVIE;132947
COLD STORAGE;132557
DEATH WISH;132064
RENAISSANCE: A FILM BY BEYONCÉ;130897
ALL THE MONEY IN THE WORLD;130457
STAR WARS: EPISODE III - REVENGE OF THE SITH;130112
A VIDA INVISÍVEL;129546
AMSTERDAM;129130
RETURN TO SILENT HILL;128443
THE TURNING;128128
THE INVITATION (AKA BRIDE);127655
GOING IN STYLE;127348
O PALESTRANTE;126728
EU SOU MAIS EU;126311
THE NIGHT HOUSE;126137
THE RUNNING MAN;125962
PAST LIVES;125445
ALL FUN AND GAMES;124891
OPERATION FORTUNE: RUSE DE GUERRE;124720
MILE 22;124480
HAROLD AND THE PURPLE CRAYON;124016
LA ODISEA DE LOS GILES;123360
JUDY;122911
COUNTDOWN;122852
PLUFT, O FANTASMINHA;122735
EMILIA PÉREZ;122643
SECOND ACT;122509
FÉRIAS TROCADAS;122322
SNOW QUEEN 3;122103
JOHNNY ENGLISH STRIKES AGAIN;122068
EVERYTHING, EVERYTHING;121659
PERFECT DAYS;121621
LONG SHOT;121240
CRIME 101;121079
THE MENU;120837
THE FABELMANS;119435
DOWNSIZING;119072
I.T.;118807
THE LITTLE VAMPIRE 3D;118590
QUEEN OF SPADES: THROUGH THE LOOKING GLASS;117658
THE CASE FOR CHRIST;117227
O ÚLTIMO VIRGEM;117177
HIT MAN;116295
LOVING VINCENT;116235
O REI DA FEIRA;116220
EVERY DAY;116038
RUBY GILLMAN TEENAGE KRAKEN;115881
JUJUTSU KAISEN: EXECUTION;115634
13 EXORCISMOS;115589
HAIKYU!! THE DUMPSTER BATTLE;115481
HEBE - A ESTRELA DO BRASIL;115142
